"PMID"	"First author"	"CITY"	"GEOLONG"	"GEOLAT"	"COUNTRY"	"#SAMPLES"		"PMID"
9258665	"Karhu R"	"Tampere"	23.79	61.5	"Finland"	25		9258665
9283597	"Van Roy N"	"Gent"	3.72	51.05	"Belgium"	7		9283597
9284942	"Steenman M"	"Amsterdam"	4.89	52.37	"Netherlands"	52		9284942
9287970	"Willenbucher RF"	"San Francisco"	-122.42	37.77	"United States"	13		9287970
9290705	"Packenham JP"	"Durham"	-78.9	35.99	"United States"	10		9290705
9290952	"Kokkola A"	"Helsinki"	24.94	60.17	"Finland"	40		9290952
9307291	"Reardon DA"	"Memphis"	-90.05	35.15	"United States"	27		9307291
9327749	"Larramendy ML"	"Helsinki"	24.94	60.17	"Finland"	58		9327749
9331100	"Courjal F"	"Lille"	3.06	50.63	"France"	61		9331100
9341884	"Suzuki A"	"Sendai"	140.87	38.26	"Japan"	15		9341884
9351988	"Szymas J"	"Poznan"	16.93	52.41	"Poland"	1		9351988
9352790	"Szymanska J"	"Helsinki"	24.94	60.17	"Finland"	20		9352790
9355973	"Nishizaki T"	"San Francisco"	-122.42	37.77	"United States"	65		9355973
9365835	"Lu YJ"	"Sutton"	-0.2	51.35	"United Kingdom"	19		9365835
9374370	"Heselmeyer K"	"Bethesda"	-77.1	38.98	"United States"	23		9374370
9389925	"Lastowska M"	"Newcastle upon Tyne"	-1.61	54.97	"United Kingdom"	18		9389925
9393736	"Bockmühl U"	"Berlin"	13.41	52.52	"Germany"	48		9393736
9403731	"Sallinen SL"	"Tampere"	23.79	61.5	"Finland"	11		9403731
9405679	"Weber RG"	"Heidelberg"	8.69	49.41	"Germany"	59		9405679
9406586	"Patel A"	"San Francisco"	-122.42	37.77	"United States"	11		9406586
9408747	"Sonoda G"	"Philadelphia"	-75.16	39.95	"United States"	27		9408747
9408755	"Mahlamäki EH"	"Tampere"	23.79	61.5	"Finland"	24		9408755
9408759	"Ottesen AM"	"Copenhagen"	12.57	55.68	"Denmark"	16		9408759
9408760	"Carlson KM"	"Stockholm"	18.06	59.33	"Sweden"	25		9408760
9422517	"Chan WY"	"Hong Kong"	114.16	22.29	"China"	7		9422517
9436963	"Miettinen MM"	"Washington"	-89.41	40.7	"United States"	27		9436963
9460997	"Björkqvist AM"	"Helsinki"	24.94	60.17	"Finland"	64		9460997
9474851	"Sauter G."	"Basel"	7.57	47.56	"Switzerland"	56		9474851
9474883	"Petersen I"	"Berlin"	13.41	52.52	"Germany"	150		9474883
9484946	"Bockmühl U"	"Berlin"	13.41	52.52	"Germany"	50		9484946
9500445	"Pere H"	"Helsinki"	24.94	60.17	"Finland"	48		9500445
9509125	"Hermsen MA"	"Amsterdam"	4.89	52.37	"Netherlands"	6		9509125
9521467	"Kiuru-Kuhlefelt S"	"Helsinki"	24.94	60.17	"Finland"	14		9521467
9523192	"Tirkkonen M"	"Tampere"	23.79	61.5	"Finland"	55		9523192
9523194	"Mohapatra G"	"San Francisco"	-122.42	37.77	"United States"	97		9523194
9531613	"Cigudosa JC"	"New York City"	-74.01	40.71	"United States"	30		9531613
9537255	"Van Gele M"	"Gent"	3.72	51.05	"Belgium"	26		9537255
9559341	"Monni O"	"Helsinki"	24.94	60.17	"Finland"	34		9559341
9559346	"Nishizaki T"	"Yamaguchi-shi"	131.47	34.19	"Japan"	33		9559346
9589690	"Palanisamy N"	"New York City"	-74.01	40.71	"United States"	53		9589690
9591638	"Björkqvist AM"	"Helsinki"	24.94	60.17	"Finland"	44		9591638
9595040	"Wong N"	"Colombo"	79.85	6.93	"Sri Lanka"	14		9595040
9596271	"Sarlomo-Rikala M"	"Helsinki"	24.94	60.17	"Finland"	17		9596271
9596681	"Barth TF"	"Heidelberg"	8.69	49.41	"Germany"	31		9596681
9600210	"Reifenberger J"	"Dusseldorf"	6.78	51.22	"Germany"	2		9600210
9607587	"Cher ML"	"Detroit"	-83.05	42.33	"United States"	32		9607587
9607913	"Nakao K"	"Tokyo"	139.69	35.69	"Japan"	9		9607913
9614906	"Khan J"	"Bethesda"	-77.1	38.98	"United States"	18		9614906
9619593	"Tarkkanen M"	"Helsinki"	24.94	60.17	"Finland"	10		9619593
9624528	"Glukhova L"	"Villejuif"	2.36	48.79	"France"	4		9624528
9639522	"Rao PH"	"New York City"	-74.01	40.71	"United States"	20		9639522
9649137	"Brinkschmidt C"	"Muenster"	7.63	51.96	"Germany"	20		9649137
9656121	"Heselmeyer K"	"Bethesda"	-77.1	38.98	"United States"	12		9656121
9661879	"Tapper J"	"Helsinki"	24.94	60.17	"Finland"	40		9661879
9665474	"Nupponen NN"	"Tampere"	23.79	61.5	"Finland"	36		9665474
9665480	"Tanner MM"	"Tampere"	23.79	61.5	"Finland"	15		9665480
9665491	"Weber RG"	"Heidelberg"	8.69	49.41	"Germany"	26		9665491
9683779	"Verdorfer I"	"Innsbruck"	11.39	47.26	"Austria"	1		9683779
9689653	"Blasius S"	"Muenster"	7.63	51.96	"Germany"	1		9689653
9692052	"Wolff E"	"Erlangen"	11.01	49.59	"Germany"	24		9692052
9712425	"Wilkens L"	"Hannover"	9.73	52.37	"Germany"	33		9712425
9724078	"Kytölä S"	"Oulu"	25.47	65.01	"Finland"	6		9724078
9736047	"El-Rifai W"	"Helsinki"	24.94	60.17	"Finland"	29		9736047
9739017	"Vandesompele J"	"Gent"	3.72	51.05	"Belgium"	36		9739017
9739022	"Larramendy ML"	"Helsinki"	24.94	60.17	"Finland"	28		9739022
9747033	"Ariyama Y"	"Tokyo"	139.69	35.69	"Japan"	1		9747033
9766511	"Larramendy ML"	"Helsinki"	24.94	60.17	"Finland"	68		9766511
9766651	"Pere H"	"Helsinki"	24.94	60.17	"Finland"	20		9766651
9772906	"Agarwal SK"	"Bethesda"	-77.1	38.98	"United States"	20		9772906
9772911	"Larramendy ML"	"Helsinki"	24.94	60.17	"Finland"	25		9772911
9776413	"Cairncross JG"	"London"	-0.13	51.51	"United Kingdom"	39		9776413
9777940	"Walch AK"	"Oberschleissheim"	11.56	48.25	"Germany"	29		9777940
9781656	"Ullmann R"	"Graz"	15.45	47.07	"Austria"	14		9781656
9785589	"Maruno M"	"Osaka-shi"	135.5	34.69	"Japan"	10		9785589
9788624	"Harada K"	"Yamaguchi-shi"	131.47	34.19	"Japan"	21		9788624
9788628	"Lu YJ"	"Sutton"	-0.2	51.35	"United Kingdom"	52		9788628
9790501	"Szymanska J"	"Helsinki"	24.94	60.17	"Finland"	67		9790501
9792143	"Hemmer S"	"Helsinki"	24.94	60.17	"Finland"	42		9792143
9793251	"Autio K"	"Helsinki"	24.94	60.17	"Finland"	18		9793251
9808430	"Zitzelsberger H"	"Oberschleissheim"	11.56	48.25	"Germany"	9		9808430
9809031	"Kokkola A"	"Helsinki"	24.94	60.17	"Finland"	16		9809031
9824200	"Rosenberg C"	"Rotterdam"	4.48	51.92	"The Netherlands"	4		9824200
9824203	"Nessling M"	"Heidelberg"	8.69	49.41	"Germany"	23		9824203
9828832	"Simon R"	"Muenster"	7.63	51.96	"Germany"	46		9828832
9830797	"Larramendy ML"	"Helsinki"	24.94	60.17	"Finland"	36		9830797
9855685	"Liehr T"	"Erlangen"	11.01	49.59	"Germany"	81		9855685
9858837	"Getman ME"	"Framingham"	-71.42	42.28	"United States"	80		9858837
9864389	"Hinze R"	"Halle"	8.36	52.06	"Germany"	20		9864389
9885981	"Kirchhoff M"	"Copenhagen"	12.57	55.68	"Denmark"	46		9885981
9892109	"Tirkkonen M"	"Tampere"	23.79	61.5	"Finland"	26		9892109
9892199	"Macville M"	"Bethesda"	-77.1	38.98	"United States"	1		9892199
9915140	"Aubele M"	"Oberschleissheim"	11.56	48.25	"Germany"	9		9915140
9916916	"Wong N"	"Hong Kong"	114.16	22.29	"China"	82		9916916
9950502	"Metzger AK"	"San Francisco"	-122.42	37.77	"United States"	53		9950502
9973227	"van Dekken H"	"Rotterdam"	4.48	51.92	"The Netherlands"	28		9973227
9973917	"Su XY"	"Shanghai"	121.46	31.22	"China"	34		9973917
10027410	"Ghadimi BM"	"Bethesda"	-77.1	38.98	"United States"	9		10027410
10070331	"Meijer GA"	"Amsterdam"	4.89	52.37	"Netherlands"	23		10070331
10077222	"Maruno M"	"Osaka-shi"	135.5	34.69	"Japan"	16		10077222
10084322	"Karenko L"	"Helsinki"	24.94	60.17	"Finland"	9		10084322
10084604	"Figueiredo BC"	"Curitiba"	-49.27	-25.43	"Brazil"	9		10084604
10092127	"Sakakura C"	"Kamigyo Ward"	135.75	35.03	"Japan"	58		10092127
10092128	"Al-Mulla F"	"Glasgow"	-4.26	55.87	"United Kingdom"	1		10092128
